acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class
0.000429,0.412,375627,0.655,0.0487,2,0.29,-8.931,1,0.0538,88.573,4,0.102,6.0
0.995,0.628,178525,0.156,0.234,2,0.109,-15.72,1,0.096,135.022,1,0.366,2.0
0.296,0.536,197232,0.552,5.16e-05,0,0.104,-8.267,1,0.0365,112.016,4,0.182,9.0
0.000307,0.414,263077,0.852,0.00244,3,0.0953,-8.666,1,0.0817,129.963,3,0.118,8.0
0.766,0.597,203613,0.271,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,0.0
0.766,0.597,203613,0.271,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,10.0
0.766,0.597,203613,0.271,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,0.0
0.766,0.597,203613,0.271,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,10.0
0.63,0.477,255000,0.529,0.797,9,0.095,-14.943,0,0.056,97.539,3,0.205,8.0
0.954,0.375,252653,0.453,0.00796,5,0.423,-9.551,0,0.0404,120.464,4,0.536,3.0
0.56,0.619,184280,0.459,0.0,7,0.137,-5.782,0,0.0334,126.803,4,0.498,10.0
0.729,0.337,335333,0.159,0.0117,0,0.0946,-15.605,0,0.0374,78.807,3,0.204,7.0
0.69,0.483,229613,0.487,0.0,1,0.108,-6.376,0,0.158,108.944,5,0.298,2.0
0.0224,0.531,207335,0.908,5.73e-05,7,0.617,-2.487,1,0.121,142.084,4,0.498,10.0
0.00717,0.953,168427,0.614,0.000258,2,0.0762,-7.328,1,0.0752,105.019,4,0.188,5.0
0.475,0.782,201231,0.618,6.96e-05,3,0.117,-9.434,1,0.068,130.009,4,0.502,6.0
0.236,0.849,271475,0.744,0.157,11,0.0776,-9.744,0,0.0891,122.019,4,0.312,6.0
0.0206,0.527,255573,0.838,0.00062,3,0.07,-6.013,1,0.0323,117.454,4,0.721,10.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,1.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,6.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,10.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,1.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,6.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,10.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,1.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,6.0
5.99e-06,0.431,419307,0.927,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,10.0
0.000581,0.358,283227,0.94,0.0172,1,0.367,-3.946,1,0.202,178.09,4,0.126,10.0
4.09e-05,0.334,303600,0.971,0.0372,4,0.131,-4.853,0,0.267,200.163,4,0.166,8.0
0.0632,0.725,175827,0.703,0.000251,7,0.14,-4.641,1,0.0466,106.032,4,0.638,9.0
0.318,0.933,210307,0.539,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,1.0
0.318,0.933,210307,0.539,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,6.0
0.318,0.933,210307,0.539,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,1.0
0.318,0.933,210307,0.539,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,6.0
0.00198,0.762,449160,0.651,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,6.0
0.00198,0.762,449160,0.651,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,1.0
0.00198,0.762,449160,0.651,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,6.0
0.00198,0.762,449160,0.651,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,1.0
0.677,0.556,191200,0.297,0.131,6,0.0794,-12.472,0,0.0421,172.2,4,0.234,10.0
0.361,0.325,291012,0.733,0.00135,9,0.359,-4.288,1,0.0418,176.618,3,0.517,2.0
0.000112,0.359,197187,0.691,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,10.0
0.000112,0.359,197187,0.691,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,6.0
0.000112,0.359,197187,0.691,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,10.0
0.000112,0.359,197187,0.691,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,6.0
0.257,0.871,198440,0.701,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,9.0
0.257,0.871,198440,0.701,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,6.0
0.257,0.871,198440,0.701,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,9.0
0.257,0.871,198440,0.701,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,6.0
0.0591,0.673,194240,0.902,0.000262,2,0.0558,-2.392,1,0.0346,100.012,4,0.538,10.0
0.0181,0.449,233705,0.577,0.789,11,0.11,-6.958,1,0.0283,110.051,4,0.278,6.0
0.000801,0.38,269000,0.753,0.00056,9,0.0958,-8.175,0,0.0723,148.836,4,0.38,8.0
0.988,0.635,204613,0.27,0.000259,10,0.175,-8.646,0,0.0453,98.308,4,0.264,3.0
0.15,0.721,226040,0.708,0.00439,3,0.267,-5.74,0,0.031,121.981,4,0.77,10.0
0.841,0.489,194542,0.284,0.0,10,0.137,-8.699,0,0.0508,186.337,4,0.335,9.0
0.19,0.734,172030,0.635,0.0,10,0.103,-5.431,0,0.203,90.001,4,0.878,5.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,8.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,10.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,1.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,9.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,8.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,10.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,1.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,9.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,8.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,10.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,1.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,9.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,8.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,10.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,1.0
0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,9.0
0.00936,0.948,195784,0.627,1.35e-05,1,0.0743,-6.11,1,0.106,129.995,4,0.417,5.0
0.000146,0.291,213448,0.963,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,1.0
0.000146,0.291,213448,0.963,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,10.0
0.000146,0.291,213448,0.963,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,1.0
0.000146,0.291,213448,0.963,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,10.0
0.0389,0.531,136427,0.849,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,6.0
0.0389,0.531,136427,0.849,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,1.0
0.0389,0.531,136427,0.849,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,6.0
0.0389,0.531,136427,0.849,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,1.0
0.119,0.481,175440,0.981,0.0,9,0.813,-1.183,1,0.0713,115.033,4,0.7,2.0
