acousticness,analysis_url,danceability,duration_ms,energy,spotify_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name,track_name,class
0.000429,https://api.spotify.com/v1/audio-analysis/4bk6zQvr1tEokVjLJ7xZfz,0.412,375627,0.655,4bk6zQvr1tEokVjLJ7xZfz,0.0487,2,0.29,-8.931,1,0.0538,88.573,4,0.102,Squid,Paddling,6.0
0.995,https://api.spotify.com/v1/audio-analysis/2A110W6j3xAbTDsOXu4uN0,0.628,178525,0.156,2A110W6j3xAbTDsOXu4uN0,0.234,2,0.109,-15.72,1,0.096,135.022,1,0.366,Kokomo Arnold,Mean Old Twister - Remastered,2.0
0.296,https://api.spotify.com/v1/audio-analysis/7vFaliU9GLPLNwyu2Kg0YT,0.536,197232,0.552,7vFaliU9GLPLNwyu2Kg0YT,5.16e-05,0,0.104,-8.267,1,0.0365,112.016,4,0.182,Brynn Elliott,Letter To A Girl,9.0
0.000307,https://api.spotify.com/v1/audio-analysis/5jHL8tcDLiiXXKcGr4nkWk,0.414,263077,0.852,5jHL8tcDLiiXXKcGr4nkWk,0.00244,3,0.0953,-8.666,1,0.0817,129.963,3,0.118,LASTELLE,A Letter Unread,8.0
0.766,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,0.597,203613,0.271,1oht5GevPN9t1T3kG1m1GO,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,James Taylor,Fire and Rain,0.0
0.766,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,0.597,203613,0.271,1oht5GevPN9t1T3kG1m1GO,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,James Taylor,Fire and Rain - 2019 Remaster,10.0
0.766,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,0.597,203613,0.271,1oht5GevPN9t1T3kG1m1GO,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,James Taylor,Fire and Rain,0.0
0.766,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,0.597,203613,0.271,1oht5GevPN9t1T3kG1m1GO,0.0119,5,0.0933,-17.293,1,0.0394,76.271,4,0.338,James Taylor,Fire and Rain - 2019 Remaster,10.0
0.63,https://api.spotify.com/v1/audio-analysis/27nlXliCG4tYCox6Ov9p40,0.477,255000,0.529,27nlXliCG4tYCox6Ov9p40,0.797,9,0.095,-14.943,0,0.056,97.539,3,0.205,Forndom,Yggdrasil,8.0
0.954,https://api.spotify.com/v1/audio-analysis/5vvkKkLRXcCvcRK40ld4df,0.375,252653,0.453,5vvkKkLRXcCvcRK40ld4df,0.00796,5,0.423,-9.551,0,0.0404,120.464,4,0.536,Asha Bhosle,Aaiye Meharban,3.0
0.56,https://api.spotify.com/v1/audio-analysis/1iQDltZqI7BXnHrFy4Qo1k,0.619,184280,0.459,1iQDltZqI7BXnHrFy4Qo1k,0.0,7,0.137,-5.782,0,0.0334,126.803,4,0.498,SHAED,Trampoline,10.0
0.729,https://api.spotify.com/v1/audio-analysis/6rUGbjo3y0MbeQNaPfytXe,0.337,335333,0.159,6rUGbjo3y0MbeQNaPfytXe,0.0117,0,0.0946,-15.605,0,0.0374,78.807,3,0.204,Bob Berg,All The Way,7.0
0.69,https://api.spotify.com/v1/audio-analysis/4piJ8pnoRvC5sqMEpbH0FA,0.483,229613,0.487,4piJ8pnoRvC5sqMEpbH0FA,0.0,1,0.108,-6.376,0,0.158,108.944,5,0.298,Anderson East,All On My Mind - Acoustic,2.0
0.0224,https://api.spotify.com/v1/audio-analysis/7AQH1fAOO8rBCH00PQCNat,0.531,207335,0.908,7AQH1fAOO8rBCH00PQCNat,5.73e-05,7,0.617,-2.487,1,0.121,142.084,4,0.498,The Heavy,Turn Up,10.0
0.00717,https://api.spotify.com/v1/audio-analysis/5vYn0idAvSminM8fdyTB1U,0.953,168427,0.614,5vYn0idAvSminM8fdyTB1U,0.000258,2,0.0762,-7.328,1,0.0752,105.019,4,0.188,Charmaine,WOO!,5.0
0.475,https://api.spotify.com/v1/audio-analysis/2PFqkHzF7R1cBttOp0jUXg,0.782,201231,0.618,2PFqkHzF7R1cBttOp0jUXg,6.96e-05,3,0.117,-9.434,1,0.068,130.009,4,0.502,Synapson,Toujours (feat. Tim Dup & Lass),6.0
0.236,https://api.spotify.com/v1/audio-analysis/1O73n53LZxJNLeGdhwChtt,0.849,271475,0.744,1O73n53LZxJNLeGdhwChtt,0.157,11,0.0776,-9.744,0,0.0891,122.019,4,0.312,Elkka,Burnt Orange - Edit,6.0
0.0206,https://api.spotify.com/v1/audio-analysis/4PtZE0h5oyPhCtPjg3NeYQ,0.527,255573,0.838,4PtZE0h5oyPhCtPjg3NeYQ,0.00062,3,0.07,-6.013,1,0.0323,117.454,4,0.721,Alice In Chains,No Excuses,10.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,soon,1.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,Soon,6.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,Soon,10.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,soon,1.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,Soon,6.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,Soon,10.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,soon,1.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,Soon,6.0
5.99e-06,https://api.spotify.com/v1/audio-analysis/4TJVYq699BO7PagAjXxYhJ,0.431,419307,0.927,4TJVYq699BO7PagAjXxYhJ,0.869,6,0.42,-9.072,0,0.0432,109.55,4,0.632,my bloody valentine,Soon,10.0
0.000581,https://api.spotify.com/v1/audio-analysis/6binrNkX9MO9nyFNt2pH1n,0.358,283227,0.94,6binrNkX9MO9nyFNt2pH1n,0.0172,1,0.367,-3.946,1,0.202,178.09,4,0.126,The Great Divide,"Anyone, Evermore",10.0
4.09e-05,https://api.spotify.com/v1/audio-analysis/76VG6yEGc6asJWoyYoMakJ,0.334,303600,0.971,76VG6yEGc6asJWoyYoMakJ,0.0372,4,0.131,-4.853,0,0.267,200.163,4,0.166,Semblant,Mere Shadow,8.0
0.0632,https://api.spotify.com/v1/audio-analysis/6Dma0t0hOe6Bd6u5YRKF3n,0.725,175827,0.703,6Dma0t0hOe6Bd6u5YRKF3n,0.000251,7,0.14,-4.641,1,0.0466,106.032,4,0.638,Sia,"No New Friends (feat. Sia, Diplo, and Labrinth)",9.0
0.318,https://api.spotify.com/v1/audio-analysis/0fotWs4R5dPWw7YnJEtRw0,0.933,210307,0.539,0fotWs4R5dPWw7YnJEtRw0,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,Uffie,Pop The Glock,1.0
0.318,https://api.spotify.com/v1/audio-analysis/0fotWs4R5dPWw7YnJEtRw0,0.933,210307,0.539,0fotWs4R5dPWw7YnJEtRw0,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,Uffie,Pop The Glock,6.0
0.318,https://api.spotify.com/v1/audio-analysis/0fotWs4R5dPWw7YnJEtRw0,0.933,210307,0.539,0fotWs4R5dPWw7YnJEtRw0,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,Uffie,Pop The Glock,1.0
0.318,https://api.spotify.com/v1/audio-analysis/0fotWs4R5dPWw7YnJEtRw0,0.933,210307,0.539,0fotWs4R5dPWw7YnJEtRw0,0.0,10,0.154,-7.652,0,0.106,111.961,4,0.399,Uffie,Pop The Glock,6.0
